path,orignal_num,filter_num,removed_num,finished
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/3,9820460,6348036,312,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/9,5580501,3455730,167,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/8,6537257,4219451,219,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/4,7419565,4390269,338,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/6,4785459,2981671,202,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/5,6251226,3875912,231,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/0,7120713,4103150,446,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/7,11998163,8102043,238,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/3,40309,24648,3,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/y,539240,330172,26,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/z,257555,159645,17,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/d,315709,198201,15,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/9,21814,13518,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/k,409019,258218,23,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/r,628549,379992,57,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/f,396535,261272,34,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/e,2646169,1682604,240,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/q,92063,63791,9,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/8,27615,17325,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/o,6143155,3968210,582,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/4,35103,21712,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/b,454335,247270,24,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/g,356370,224951,24,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/6,29798,19150,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/p,261663,175574,20,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/l,797423,480597,60,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/u,8622172,5458182,801,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/h,405336,243577,41,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/m,427923,269295,25,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/t,489495,293504,53,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/i,1260957,813503,124,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/5,26738,16538,4,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/symbols,744453,486780,56,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/w,159274,103541,6,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/1,63342,39446,3,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/n,411123,255168,51,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/0,59429,37626,4,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/2,93683,58543,8,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/j,305478,190010,23,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/c,330851,207329,24,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/x,180899,116704,5,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/s,668146,407240,41,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/v,844471,558176,61,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/7,30225,18970,3,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/3,7089,4435,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/y,274285,170297,32,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/z,214037,137931,21,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/d,248947,158877,29,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/9,5671,3167,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/k,752700,477401,80,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/a,85173,52674,10,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/r,1230108,796134,117,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/f,43188,26860,5,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/e,68340,42546,6,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/q,30826,19764,3,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/8,5844,3518,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/o,196749,127446,20,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/4,6795,3934,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/b,148709,93572,13,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/g,291345,187192,29,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/6,5225,2979,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/p,112030,71125,6,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/l,282740,181432,21,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/u,43859,27450,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/h,418699,255867,25,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/m,642189,421455,58,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/t,200041,127096,23,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/i,95926,62143,20,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/5,6118,4117,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/symbols,1331127,898333,169,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/w,57142,36241,7,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/1,22889,13138,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/n,3976750,2530906,310,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/0,7597,4299,3,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/2,15967,9798,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/j,48251,29721,8,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/c,195915,128732,21,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/x,23745,14993,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/s,1472873,977548,95,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/v,154060,99913,11,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/y/a/7,7128,4298,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/3,73721,47482,4,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/y,867112,537461,86,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/z,1132339,667109,101,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/d,501602,314492,43,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/9,31054,18881,3,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/k,276575,174168,30,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/a,10284974,6407849,860,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/r,277217,178122,33,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/f,167195,109000,14,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/e,4940172,3125204,594,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/q,123765,78649,6,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/8,35634,23683,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/o,3847651,2449232,443,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/4,40040,25250,2,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/b,359742,232705,23,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/g,285947,182107,24,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/6,28339,18292,0,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/p,228005,144757,22,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/l,988151,607036,79,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/u,2313074,1439911,200,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/h,6473207,4098157,387,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/m,614359,375034,80,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/t,256749,157261,17,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/i,3613943,2269502,412,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/5,35227,22110,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/symbols,685833,435739,67,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/w,354105,222234,49,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/1,139074,85439,13,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/n,313196,191742,29,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/0,76995,49134,7,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/2,71423,43534,4,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/j,357099,221788,15,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/c,283441,179131,18,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/x,943016,550801,75,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/s,577176,363478,49,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/v,868652,532917,60,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/z/7,39324,25393,1,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/3,203505,120627,9,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/y,2207067,1388455,190,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/z,1150078,710326,85,True
/home/jjwang1118/projects/leak_datasets/CompilationOfManyBreaches/data/d/d,2126398,1303106,191,True
